major,Semester,Year,degree,university,top,G-V,G-Q,G-A,gpa-norm,toefl,acceptance
Chem,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
Other,Spring,2012,PhD,Pennsylvania State University,30/211,,,,,,Rej
Other,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
Mech,Fall,2016,MS,Pennsylvania State University,15/211,0.75,0.75,4,0.816666667,103,Rej
Mech,Fall,2016,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2016,MS,Pennsylvania State University,,,,,0.875,,Rej
Stat/Biostat,Fall,2016,MS,Pennsylvania State University,,,,,0.975,,Rej
Stat/Biostat,Fall,2016,MS,Pennsylvania State University,15/211,0.575,1,3,0.85,96,Rej
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,,0.8,0.9,3.5,,110,Rej
EE,Fall,2015,MS,Pennsylvania State University,15/211,0.75,0.75,0,,100,AD
Mech,Fall,2015,PhD,Pennsylvania State University,,0.75,0.75,3,,97,Rej
Stat/Biostat,Fall,2012,MS,Pennsylvania State University,,,,,0.9,103,Rej
IEOR,Fall,2015,PhD,Pennsylvania State University,15/211,,,,,,AD
IEOR,Fall,2015,PhD,Pennsylvania State University,30/211,0.7,0.9,3.5,,,AD
IEOR,Fall,2014,MS,Pennsylvania State University,,,,,0.925,,AD
Financial,Spring,2014,MS,Pennsylvania State University,,,,,,,AD
Physics,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
EE,Fall,2016,MS,Pennsylvania State University,30/211,0.525,1,3,,97,AD
EE,Fall,2016,MS,Pennsylvania State University,30/211,,,,,95,AD
CS,Fall,2016,MS,Pennsylvania State University,,,,,,,AD
EE,Fall,2016,MS,Pennsylvania State University,30/211,,,,,95,AD
CS,Fall,2016,PhD,Pennsylvania State University,,,,,0.8,,AD
Other,Fall,2016,MS,Pennsylvania State University,,,,,0.825,,AD
CS,Fall,2016,MS,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Fall,2016,PhD,Pennsylvania State University,15/211,0.7625,0.7625,3,,106,Rej
EE,Fall,2016,MS,Pennsylvania State University,,0.525,1,3,,97,AD
Math,Fall,2016,PhD,Pennsylvania State University,15/211,0.525,1,3,,102,AD
CS,Spring,2016,MS,Pennsylvania State University,,,,,0.8,,Rej
IEOR,Spring,2016,MS,Pennsylvania State University,,,,,,,AD
EE,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2015,MS,Pennsylvania State University,,0.75,0.75,1,0.75,102,Rej
Envir,Fall,2014,MS,Pennsylvania State University,,,,,0.95,,Rej
CS,Fall,2014,PhD,Pennsylvania State University,,,,,,,AD
Mech,Fall,2013,MS,Pennsylvania State University,,0.95,0.9,3,0.75,101,Rej
EE,Fall,2013,,Pennsylvania State University,15/211,,,,,,
EE,Fall,2013,MS,Pennsylvania State University,30/211,0.35,0.975,3,0.55,,Rej
EE,Fall,2013,MS,Pennsylvania State University,,,,,0.925,,Rej
EE,Fall,2013,MS,Pennsylvania State University,30/211,0.5,0.95,3.5,0.825,101,Rej
EE,Fall,2013,MS,Pennsylvania State University,15/211,0.7125,0.7125,3.5,0.9375,95,Rej
Material,Fall,2013,PhD,Pennsylvania State University,15/211,,,,,105,Rej
EE,Fall,2013,MS,Pennsylvania State University,15/211,0.6875,0.6875,3,,86,AD
Other,Fall,2013,PhD,Pennsylvania State University,15/211,0.95,0.95,4,0.975,112,AD
Mech,Fall,2013,PhD,Pennsylvania State University,,,,,0.825,97,Rej
EE,Fall,2013,MS,Pennsylvania State University,15/211,0.75,0.75,3.5,0.733333333,106,AD
CS,Fall,2013,MS,Pennsylvania State University,15/211,,,,0.92,95,Rej
EE,Fall,2013,PhD,Pennsylvania State University,,,,,0.975,,AD
EE,Fall,2013,MS,Pennsylvania State University,,,,,0.875,,AD
EE,Fall,2013,MS,Pennsylvania State University,15/211,0.7,0.975,3.5,0.925,103,AD
Mech,Fall,2013,PhD,Pennsylvania State University,,,,,,,Rej
Mech,Fall,2013,MS,Pennsylvania State University,,0.775,0.775,3.5,0.85,108,Rej
Mech,Fall,2013,PhD,Pennsylvania State University,15/211,,,,0.925,101,Rej
Mech,Fall,2013,MS,Pennsylvania State University,15/211,0.5,0.9,3,0.925,100,Rej
Mech,Fall,2013,MS,Pennsylvania State University,15/211,0.5,0.9,3,0.925,100,Rej
Mech,Fall,2013,PhD,Pennsylvania State University,,0.55,1,3,0.95,97,Rej
EE,Fall,2013,MS,Pennsylvania State University,,,,,0.875,,AD
Mech,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
Mech,Fall,2013,MS,Pennsylvania State University,,,,,0.925,,Rej
EE,Fall,2013,MS,Pennsylvania State University,,0.65,0.9,3,0.766666667,101,AD
EE,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2015,MS,Pennsylvania State University,,0.75,0.75,1,0.75,102,Rej
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
EE,Fall,2015,MS,Pennsylvania State University,,,,,0.6,,Rej
EE,Fall,2015,MS,Pennsylvania State University,30/211,,,,,,AD
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
EE,Fall,2015,MS,Pennsylvania State University,,,,,0.825,,Rej
EE,Fall,2015,PhD,Pennsylvania State University,,,,,,,Rej
CS,Fall,2015,MS,Pennsylvania State University,15/211,0.775,0.775,3,0.775,100,AD
EE,Fall,2015,MS,Pennsylvania State University,15/211,0.75,0.75,2,0.975,86,AD
Mech,Fall,2015,MS,Pennsylvania State University,,,,,0.85,,Rej
Mech,Fall,2015,MS,Pennsylvania State University,,,,,0.925,,Rej
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,15/211,0.975,0.725,3,0.875,,AD
Civil,Fall,2015,PhD,Pennsylvania State University,,,,,0.925,,AD
EE,Fall,2015,MS,Pennsylvania State University,30/211,,,,,,AD
Bio,Fall,2015,MS,Pennsylvania State University,,0.675,0.675,3,0.875,86,Rej
Civil,Fall,2015,MS,Pennsylvania State University,30/211,,,,0.95,104,AD
Civil,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
Chem,Fall,2015,PhD,Pennsylvania State University,,,,,,,Rej
Civil,Fall,2015,MS,Pennsylvania State University,,,,,0.766666667,,AD
Civil,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
IEOR,Fall,2015,MS,Pennsylvania State University,,,,,0.875,,Rej
IEOR,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2015,MS,Pennsylvania State University,,0.525,1,3,0.925,99,Rej
Stat/Biostat,Fall,2012,MS,Pennsylvania State University,,,,,0.875,,Rej
EE,Fall,2012,PhD,Pennsylvania State University,,,,,0.82,,AD
Other,Fall,2012,,Pennsylvania State University,,,,,,,
CS,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
,Fall,2012,,Pennsylvania State University,,,,,,,
EE,Fall,2012,PhD,Pennsylvania State University,,,,,0.9,,AD
EE,Fall,2012,PhD,Pennsylvania State University,,,,,0.9,,AD
EE,Fall,2012,PhD,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Spring,2012,MS,Pennsylvania State University,15/211,0.975,0.9,3.5,,97,Rej
CS,Fall,2012,MS,Pennsylvania State University,,,,,0.875,,Rej
CS,Fall,2012,MS,Pennsylvania State University,30/211,0.85,0.55,3,,100,Rej
Stat/Biostat,Fall,2012,PhD,Pennsylvania State University,,,,,0.766666667,,Rej
CS,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2012,MS,Pennsylvania State University,,0.8,0.9,4,,103,Rej
CS,Fall,2012,MS,Pennsylvania State University,30/211,0.75,0.45,3.5,,90,Rej
Bio,Fall,2012,PhD,Pennsylvania State University,,,,,0.925,,Rej
CS,Fall,2012,MS,Pennsylvania State University,15/211,0.625,0.9,3.5,0.983333333,105,AD
Civil,Fall,2012,PhD,Pennsylvania State University,,,,,,,AD
Envir,Fall,2012,MS,Pennsylvania State University,,,,,0.825,,Rej
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2015,MS,Pennsylvania State University,,,,,0.925,,AD
Bio,Fall,2015,,Pennsylvania State University,15/211,,,,,,
Envir,Fall,2015,MS,Pennsylvania State University,15/211,,,,,,Rej
MIS/DataScience,Fall,2015,MS,Pennsylvania State University,,0.7375,0.7375,3,,100,Rej
Stat/Biostat,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
MIS/DataScience,Fall,2015,MS,Pennsylvania State University,30/211,0.75,0.75,3,,100,AD
Stat/Biostat,Fall,2015,MS,Pennsylvania State University,15/211,0.525,1,3,0.825,,Rej
Stat/Biostat,Fall,2015,MS,Pennsylvania State University,,,,,0.8375,,Rej
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,,,,,0.875,,Rej
Civil,Fall,2015,MS,Pennsylvania State University,30/211,0.65,0.825,3,0.75,96,Rej
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2014,MS,Pennsylvania State University,15/211,0.625,1,4.5,0.9,109,Rej
Aero,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
Civil,Fall,2014,PhD,Pennsylvania State University,30/211,,,,,,AD
IEOR,Fall,2014,MS,Pennsylvania State University,15/211,0.55,0.95,3.5,,100,Rej
IEOR,Fall,2014,PhD,Pennsylvania State University,,,,,,,AD
CS,Fall,2014,MS,Pennsylvania State University,30/211,0.575,0.825,3.5,,97,Rej
CS,Fall,2014,MS,Pennsylvania State University,,,,,0.825,,Rej
CS,Fall,2014,MS,Pennsylvania State University,15/211,,,,,,Rej
CS,Fall,2014,MS,Pennsylvania State University,,0.6,1,3.5,0.85,104,Rej
CS,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2014,MS,Pennsylvania State University,30/211,,,,,,Rej
IEOR,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2014,PhD,Pennsylvania State University,,0.475,0.975,3,,,AD
CS,Fall,2014,MS,Pennsylvania State University,15/211,0.475,0.95,3,0.9,103,Rej
CS,Fall,2014,PhD,Pennsylvania State University,15/211,,,,,,AD
CS,Fall,2014,MS,Pennsylvania State University,,,,,0.925,,Rej
Mech,Fall,2014,MS,Pennsylvania State University,,,,,0.8,,Rej
CS,Fall,2014,MS,Pennsylvania State University,30/211,,,,0.9,,Rej
IEOR,Fall,2014,MS,Pennsylvania State University,,,,,0.975,,AD
CS,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2014,MS,Pennsylvania State University,,0.575,1,3,,100,Rej
CS,Fall,2014,MS,Pennsylvania State University,30/211,0.475,0.925,3,0.95,96,Rej
Stat/Biostat,Fall,2014,MS,Pennsylvania State University,,,,,0.975,,Rej
EE,Fall,2014,MS,Pennsylvania State University,30/211,0.7625,0.7625,3,,98,AD
Physics,Fall,2014,PhD,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2014,MS,Pennsylvania State University,30/211,,,,0.825,,Rej
Stat/Biostat,Fall,2014,PhD,Pennsylvania State University,,,,,,,Rej
EE,Fall,2014,MS,Pennsylvania State University,15/211,0.525,1,3,0.8125,103,AD
EE,Fall,2014,MS,Pennsylvania State University,15/211,0.475,1,3,,105,AD
Stat/Biostat,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2014,MS,Pennsylvania State University,,,,,0.9,,AD
Stat/Biostat,Fall,2014,PhD,Pennsylvania State University,,,,,0.925,,Rej
Civil,Fall,2014,MS,Pennsylvania State University,30/211,0.525,0.95,3.5,0.9,101,AD
EE,Fall,2014,PhD,Pennsylvania State University,,0.6,0.825,3,,100,AD
MIS/DataScience,Fall,2014,MS,Pennsylvania State University,,,,,0.75,,AD
Envir,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2014,PhD,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2014,MS,Pennsylvania State University,30/211,0.55,0.95,3.5,0.825,108,Rej
Stat/Biostat,Fall,2014,PhD,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2013,PhD,Pennsylvania State University,30/211,,,,,,AD
CS,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
IEOR,Fall,2013,MS,Pennsylvania State University,,0.625,1,3.5,0.75,99,AD
IEOR,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Fall,2013,PhD,Pennsylvania State University,,,,,0.95,,Rej
IEOR,Fall,2013,MS,Pennsylvania State University,,,,,0.716666667,,AD
IEOR,Fall,2013,MS,Pennsylvania State University,,0.5,0.85,2.5,0.75,94,Rej
Mech,Fall,2013,MS,Pennsylvania State University,30/211,0.55,1,3,0.925,103,AD
IEOR,Fall,2013,MS,Pennsylvania State University,,,,,0.875,,AD
CS,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
Envir,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2013,MS,Pennsylvania State University,30/211,0.625,0.95,3,,101,AD
MIS/DataScience,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Pennsylvania State University,,0.85,0.85,3,0.875,109,AD
CS,Fall,2013,MS,Pennsylvania State University,15/211,0.55,0.9,3.5,0.825,97,Rej
CS,Fall,2013,MS,Pennsylvania State University,,0.35,0.975,3.5,,97,Rej
CS,Fall,2013,MS,Pennsylvania State University,,0.6,0.9,3,0.7,98,Rej
Stat/Biostat,Fall,2013,PhD,Pennsylvania State University,15/211,,,,,101,AD
Stat/Biostat,Fall,2013,MS,Pennsylvania State University,,0.7625,0.7625,3,0.85,108,AD
Civil,Fall,2013,MS,Pennsylvania State University,30/211,0.65,0.925,3.5,,102,AD
Civil,Fall,2013,MS,Pennsylvania State University,30/211,,,,0.85,94,Rej
CS,Fall,2013,PhD,Pennsylvania State University,30/211,0.525,0.7,3,,102,Rej
Civil,Fall,2013,PhD,Pennsylvania State University,,0.7,0.925,3.5,,101,AD
CS,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
Civil,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
Other,Fall,2013,MS,Pennsylvania State University,,,,,0.875,,Rej
CS,Fall,2013,PhD,Pennsylvania State University,30/211,,,,0.9375,,AD
Other,Fall,2016,MS,Pennsylvania State University,15/211,0.45,0.875,3,0.85,101,Rej
Civil,Fall,2016,PhD,Pennsylvania State University,30/211,,,,,,AD
EE,Fall,2013,,Pennsylvania State University,,,,,,,
Mech,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
CS,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
Envir,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
Civil,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
EE,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2012,MS,Pennsylvania State University,,,,,0.75,,Rej
EE,Fall,2015,MS,Pennsylvania State University,30/211,0.975,0.7,3,,93,Rej
,Fall,2012,MS,Pennsylvania State University,15/211,0.8,0.5,3,0.825,101,Rej
CS,Fall,2012,PhD,Pennsylvania State University,,,,,,,AD
CS,Fall,2012,MS,Pennsylvania State University,,,,,0.875,,Rej
CS,Fall,2012,PhD,Pennsylvania State University,,0.875,0.625,3.5,0.82,107,Rej
Material,Fall,2012,MS,Pennsylvania State University,,0.65,0.375,3.5,0.825,93,Rej
Other,Fall,2012,PhD,Pennsylvania State University,,0.7,0.9,3,0.95,96,Rej
EE,Fall,2012,MS,Pennsylvania State University,15/211,,,,,101,AD
EE,Fall,2012,MS,Pennsylvania State University,,0.9,0.9,3,0.875,104,AD
Mech,Fall,2012,MS,Pennsylvania State University,,,,,0.85,,Rej
Mech,Fall,2012,PhD,Pennsylvania State University,30/211,0.575,0.85,3,0.825,103,AD
Mech,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
Mech,Spring,2012,,Pennsylvania State University,,,,,,,Rej
Mech,Fall,2012,PhD,Pennsylvania State University,15/211,,,,0.925,,Rej
Mech,Fall,2012,PhD,Pennsylvania State University,,,,,,,Rej
Mech,Fall,2012,MS,Pennsylvania State University,,,,,0.8,,Rej
IEOR,Fall,2012,MS,Pennsylvania State University,15/211,0.65,0.9,3,0.925,103,AD
IEOR,Fall,2012,MS,Pennsylvania State University,30/211,,,,,,AD
IEOR,Fall,2012,MS,Pennsylvania State University,,,,,0.95,,Rej
Stat/Biostat,Fall,2012,MS,Pennsylvania State University,,,,,0.875,,Rej
IEOR,Fall,2012,MS,Pennsylvania State University,,0.625,0.9,3,,96,Rej
EE,Fall,2012,MS,Pennsylvania State University,,,,,0.85,,AD
EE,Fall,2014,MS,Pennsylvania State University,15/211,0.65,0.9,4,,103,Rej
Other,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2014,MS,Pennsylvania State University,,,,,0.8,,Rej
EE,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2014,MS,Pennsylvania State University,30/211,,,,,108,Rej
EE,Fall,2014,MS,Pennsylvania State University,15/211,0.575,1,3,0.875,97,Rej
EE,Fall,2014,MS,Pennsylvania State University,,0.75,0.75,3,0.925,101,Rej
Material,Fall,2014,PhD,Pennsylvania State University,,0.5,0.9,4,,111,Rej
Mech,Fall,2014,MS,Pennsylvania State University,15/211,0.9,0.9,4,,104,AD
EE,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
Earth/Geo,Fall,2014,PhD,Pennsylvania State University,,,,,,,AD
EE,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
IEOR,Fall,2014,MS,Pennsylvania State University,15/211,0.825,0.825,4,0.225,106,AD
Bio,Fall,2014,PhD,Pennsylvania State University,15/211,,,,0.9,,AD
EE,Fall,2014,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2012,MS,Pennsylvania State University,15/211,0.575,1,3,0.875,101,AD
CS,Fall,2014,MS,Pennsylvania State University,,0.875,0.875,0,,103,Rej
CS,Fall,2014,PhD,Pennsylvania State University,,,,,0.87,,Rej
Mech,Fall,2014,PhD,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2014,MS,Pennsylvania State University,30/211,,,,,,AD
Civil,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2014,PhD,Pennsylvania State University,,,,,0.975,,AD
EE,Fall,2014,MS,Pennsylvania State University,30/211,,,,0.925,,AD
Mech,Fall,2014,PhD,Pennsylvania State University,,,,,,,AD
Mech,Fall,2016,PhD,Pennsylvania State University,30/211,,,,,,Rej
Mech,Fall,2016,MS,Pennsylvania State University,15/211,0.75,0.75,3,,106,Rej
Civil,Fall,2016,PhD,Pennsylvania State University,,0.525,1,3,,,AD
Mech,Fall,2016,PhD,Pennsylvania State University,,,,,,,Rej
CS,Fall,2016,MS,Pennsylvania State University,30/211,,,,,,AD
IEOR,Fall,2016,MS,Pennsylvania State University,,,,,0.875,,AD
CS,Fall,2016,MS,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Fall,2016,PhD,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2016,PhD,Pennsylvania State University,,0.75,0.75,2,0.675,86,Rej
CS,Fall,2016,PhD,Pennsylvania State University,,,,,,,AD
CS,Fall,2016,PhD,Pennsylvania State University,,,,,,,AD
EE,Fall,2016,MS,Pennsylvania State University,,,,,,,Rej
IEOR,Fall,2016,MS,Pennsylvania State University,15/211,0.55,1,3,,106,Rej
IEOR,Fall,2016,PhD,Pennsylvania State University,,,,,0.85,,AD
Mech,Fall,2016,PhD,Pennsylvania State University,30/211,,,,,,Rej
Math,Fall,2016,PhD,Pennsylvania State University,30/211,0.55,1,3,,,AD
EE,Fall,2014,MS,Pennsylvania State University,15/211,0.8125,0.8125,3,0.81,101,AD
Bio,Fall,2015,PhD,Pennsylvania State University,15/211,,,,,,Rej
EE,Spring,2012,MS,Pennsylvania State University,15/211,,,,,97,Rej
CS,Fall,2016,PhD,Pennsylvania State University,15/211,,,,,,AD
EE,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2015,MS,Pennsylvania State University,,,,,0.925,,Rej
Civil,Spring,2016,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
Envir,Fall,2014,,Pennsylvania State University,15/211,0.75,0.75,3,,104,
IEOR,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
IEOR,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
Envir,Fall,2015,MS,Pennsylvania State University,,,,,,,AD
Mech,Fall,2014,MS,Pennsylvania State University,,,,,,,AD
Other,Fall,2014,PhD,Pennsylvania State University,,,,,,,AD
Mech,Fall,2013,PhD,Pennsylvania State University,15/211,,,,,,Rej
CS,Fall,2016,PhD,Pennsylvania State University,15/211,0.875,0.9,3.5,0.9,,AD
Envir,Fall,2015,MS,Pennsylvania State University,15/211,0.525,0.85,3.5,,90,AD
CS,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
Chem,Fall,2013,MS,Pennsylvania State University,,,,,,,Rej
CS,Spring,2015,MS,Pennsylvania State University,,,,,,,AD
CS,Fall,2015,MS,Pennsylvania State University,30/211,,,,0.925,,Rej
EE,Fall,2014,,Pennsylvania State University,30/211,0.675,1,3,,100,
CS,Fall,2016,MS,Pennsylvania State University,,0.825,1,4,0.775,112,Rej
MIS/DataScience,Fall,2016,MS,Pennsylvania State University,15/211,,,,0.8,102,AD
CS,Fall,2015,MS,Pennsylvania State University,,,,,,,Rej
EE,Fall,2015,MS,Pennsylvania State University,30/211,0.55,0.875,3,0.825,94,Rej
EE,Fall,2015,MS,Pennsylvania State University,15/211,0.75,0.75,2,0.975,86,AD
CS,Fall,2015,MS,Pennsylvania State University,30/211,0.6,1,3,0.725,100,Rej
EE,Fall,2013,MS,Pennsylvania State University,,,,,,,AD
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,,,,,,,Rej
Stat/Biostat,Fall,2015,PhD,Pennsylvania State University,,,,,,,Rej
EE,Fall,2013,MS,Pennsylvania State University,,0.7625,0.7625,3,0.925,97,AD
MIS/DataScience,Fall,2013,MS,Pennsylvania State University,,,,,0.875,,AD
CS,Fall,2012,MS,Pennsylvania State University,,,,,,,Rej
CS,Fall,2014,MS,Pennsylvania State University,30/211,,,,,104,Rej
Stat/Biostat,Fall,2014,PhD,Pennsylvania State University,,,,,0.925,,AD
EE,Fall,2013,PhD,Pennsylvania State University,,,,,,,AD
IEOR,Fall,2012,MS,Pennsylvania State University,15/211,0.825,0.525,3.5,,109,AD
CS,Fall,2015,PhD,Pennsylvania State University,15/211,,,,,,AD
CS,Fall,2013,PhD,Portland State University,,,,,0.99,,AD
CS,Fall,2014,PhD,Portland State University,,,,,0.925,,AD
CS,Fall,2012,PhD,Portland State University,,,,,0.825,,AD
CS,Spring,2015,MS,Portland State University,,,,,,,AD
CS,Fall,2012,PhD,Portland State University,,,,,0.825,,AD
CS,Fall,2014,MS,Portland State University,,,,,0.75,,Rej
CS,Fall,2016,,Portland State University,15/211,0.625,0.625,2,,89,AD
CS,Fall,2016,MS,Princeton University,30/211,0.725,1,3.5,0.93,111,Rej
Mech,Fall,2014,MS,Princeton University,15/211,0.55,1,3,0.92,104,Rej
CS,Fall,2012,MS,Princeton University,15/211,0.75,0.475,3.5,0.82,99,Rej
Mech,Fall,2016,PhD,Princeton University,,,,,0.84,,AD
CS,Fall,2016,PhD,Princeton University,,,,,0.925,,Rej
CS,Fall,2015,MS,Princeton University,,,,,0.8375,,Rej
Mech,Fall,2015,PhD,Princeton University,,,,,0.816666667,,Rej
Mech,Fall,2013,PhD,Princeton University,,,,,0.8,,Rej
EE,Fall,2014,MS,Princeton University,30/211,0.6,0.975,3.5,0.766666667,104,Rej
EE,Fall,2014,MS,Princeton University,30/211,0.6,0.975,3.5,0.766666667,104,Rej
Material,Fall,2012,PhD,Princeton University,,,,,0.7,,Rej
Stat/Biostat,Fall,2012,PhD,Princeton University,,,,,0.683333333,,AD
Mech,Fall,2016,PhD,Princeton University,,,,,1,,Rej
Other,Fall,2013,PhD,Princeton University,,,,,0.975,,Rej
Other,Fall,2013,PhD,Princeton University,,,,,0.975,,Rej
Physics,Fall,2012,PhD,Princeton University,,,,,0.975,,Rej
EE,Fall,2014,PhD,Princeton University,,,,,0.975,,AD
Physics,Fall,2013,PhD,Princeton University,,,,,0.9,,AD
CS,Fall,2016,MS,Princeton University,,,,,0.975,,AD
CS,Fall,2016,MS,Princeton University,,,,,0.975,,Rej
CS,Fall,2014,PhD,Princeton University,,,,,0.975,,Rej
CS,Fall,2013,MS,Princeton University,,,,,0.975,,AD
EE,Fall,2015,PhD,Princeton University,,0.575,0.95,3.5,0.975,105,Rej
CS,Fall,2014,MS,Princeton University,,,,,0.975,,Rej
CS,Fall,2014,MS,Princeton University,,,,,0.975,,Rej
CS,Fall,2016,MS,Princeton University,,,,,0.975,,Rej
Mech,Fall,2016,PhD,Princeton University,,,,,0.975,,Rej
Other,Fall,2012,PhD,Princeton University,,,,,0.95,,AD
Mech,Fall,2012,MS,Princeton University,30/211,0.9,0.625,3,0.95,107,Rej
EE,Fall,2013,MS,Princeton University,30/211,,,,0.95,109,Rej
Math,Fall,2014,PhD,Princeton University,,,,,0.95,,Rej
Financial,Fall,2012,MS,Princeton University,,,,,0.95,,Rej
CS,Fall,2016,PhD,Princeton University,,,,,0.95,,AD
EE,Fall,2012,PhD,Princeton University,,,,,0.95,,Rej
CS,Fall,2015,MS,Princeton University,,,,,0.95,,Rej
EE,Fall,2012,MS,Princeton University,,,,,0.95,,Rej
EE,Fall,2012,,Princeton University,,,,,0.95,,
Bio,Fall,2012,PhD,Princeton University,,,,,0.95,,Rej
Financial,Fall,2015,MS,Princeton University,,,,,0.925,,Rej
Financial,Fall,2015,MS,Princeton University,,,,,0.925,,Rej
Financial,Fall,2013,MS,Princeton University,15/211,0.75,1,3,0.925,112,Rej
CS,Fall,2015,MS,Princeton University,,,,,0.925,,Rej
CS,Fall,2016,MS,Princeton University,,,,,0.925,,Rej
Other,Fall,2015,MS,Princeton University,,0.675,0.975,3.5,0.925,108,Rej
CS,Fall,2012,PhD,Princeton University,,,,,0.925,,Rej
EE,Fall,2012,PhD,Princeton University,,,,,0.925,,AD
EE,Fall,2013,MS,Princeton University,15/211,0.75,1,4.5,0.9,109,Rej
Financial,Fall,2016,MS,Princeton University,,,,,0.9,,Rej
CS,Fall,2012,MS,Princeton University,,,,,0.9,,Rej
CS,Fall,2012,MS,Princeton University,,,,,0.9,,Rej
CS,Fall,2014,MS,Princeton University,,,,,0.9,,Rej
Envir,Fall,2013,MS,Princeton University,,,,,0.9,,Rej
Chem,Fall,2015,PhD,Princeton University,,,,,0.9,,Rej
Chem,Fall,2015,PhD,Princeton University,,,,,0.9,,Rej
CS,Fall,2015,,Princeton University,15/211,0.6,1,3,0.875,98,
Econ,Fall,2012,MS,Princeton University,,,,,0.875,,Rej
CS,Fall,2012,PhD,Princeton University,,,,,0.875,,Rej
EE,Fall,2013,,Princeton University,,,,,0.85,,
Envir,Fall,2014,PhD,Princeton University,15/211,0.525,0.95,3.5,0.825,88,Rej
Physics,Fall,2014,PhD,Princeton University,30/211,0.75,0.75,2,0.825,99,Rej
