user	url	gpa	Semester	Year	degree	acceptance	university	majors	G	T	top
ruruashine	http://www.1point3acres.com/bbs/thread-122964-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat, Stats 			
tianjiani	http://www.1point3acres.com/bbs/thread-123227-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			15/211
?????	http://www.1point3acres.com/bbs/thread-123209-1-1.html		Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	EE			
hg285808684	http://www.1point3acres.com/bbs/thread-119802-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
mysteryjoe	http://www.1point3acres.com/bbs/thread-122550-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
EroicaCMCS	http://www.1point3acres.com/bbs/thread-122872-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
Moodymd_1222	http://www.1point3acres.com/bbs/thread-122871-1-1.html	3.6	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
songxiyou	http://www.1point3acres.com/bbs/thread-122925-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
jennyzhang1003	http://www.1point3acres.com/bbs/thread-122912-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			15/211
liangjin	http://www.1point3acres.com/bbs/thread-122464-1-1.html	3.7	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE, EE			
Firework	http://www.1point3acres.com/bbs/thread-114755-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	CS	V152+Q166+3.5	105(23)	15/211
lqt1993	http://www.1point3acres.com/bbs/thread-122860-1-1.html	3.6	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat	162+170+3.5		15/211
mathchenggang	http://www.1point3acres.com/bbs/thread-122862-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	Stat/Biostat			
cici7941	http://www.1point3acres.com/bbs/thread-122861-1-1.html	3.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
tsingggggg	http://www.1point3acres.com/bbs/thread-122866-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Econ/Biz			
way1103	http://www.1point3acres.com/bbs/thread-118951-1-1.html		Fall	2015.0	PhD	AD	'University of California, Los Angeles'	ME, AE			
EmmanuelSHS	http://www.1point3acres.com/bbs/thread-122859-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
lavender.loveuu	http://www.1point3acres.com/bbs/thread-122728-1-1.html	3.8	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
nagehaizi	http://www.1point3acres.com/bbs/thread-116975-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	Chem/CEng			
nagehaizi	http://www.1point3acres.com/bbs/thread-116975-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	Chem/CEng			
???????	http://www.1point3acres.com/bbs/thread-121135-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			15/211
woshixuyoudan	http://www.1point3acres.com/bbs/thread-120266-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			30/211
???	http://www.1point3acres.com/bbs/thread-121885-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Stat/Biostat			
lsyzju	http://www.1point3acres.com/bbs/thread-117484-1-1.html	6.7	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
kathy630	http://www.1point3acres.com/bbs/thread-119499-1-1.html	1.3	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
merci	http://www.1point3acres.com/bbs/thread-120082-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME			
????2014	http://www.1point3acres.com/bbs/thread-121062-1-1.html	8.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	148+167 3.0	103?23?	15/211
Soybeanny	http://www.1point3acres.com/bbs/thread-117794-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME			
??????	http://www.1point3acres.com/bbs/thread-120280-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			30/211
EmilyMMMM	http://www.1point3acres.com/bbs/thread-120241-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			30/211
sabrinasong	http://www.1point3acres.com/bbs/thread-120564-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS, MCDS, CMU MS			
????	http://www.1point3acres.com/bbs/thread-116996-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	EE			
xiaohao	http://www.1point3acres.com/bbs/thread-120524-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
moritzstudy	http://www.1point3acres.com/bbs/thread-119650-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	ME, ME			
lingerstarr	http://www.1point3acres.com/bbs/thread-119490-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
???	http://www.1point3acres.com/bbs/thread-119300-1-1.html	1.4	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE	156+168+3.5	99(20)	15/211
?de?	http://www.1point3acres.com/bbs/thread-120270-1-1.html	0.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	153+168+3	102?S22?	30/211
hyin6	http://www.1point3acres.com/bbs/thread-120281-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
Dracocc	http://www.1point3acres.com/bbs/thread-120291-1-1.html	3.5	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	322?v152?	101?s22?	30/211
entropyendless	http://www.1point3acres.com/bbs/thread-118529-1-1.html	3.7	Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	Chem/CEng			
fengfeifei	http://www.1point3acres.com/bbs/thread-120265-1-1.html	9.1	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	321+3.5	101(24)	30/211
allenwoo	http://www.1point3acres.com/bbs/thread-120282-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
??	http://www.1point3acres.com/bbs/thread-120279-1-1.html	3.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	151+170+3	102	15/211
?????	http://www.1point3acres.com/bbs/thread-120228-1-1.html	3.3	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE, EE			30/211
Duke?offer	http://www.1point3acres.com/bbs/thread-120259-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
Meetyourmaster	http://www.1point3acres.com/bbs/thread-120239-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
wbangbang11	http://www.1point3acres.com/bbs/thread-120253-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
jerryyangyuqing	http://www.1point3acres.com/bbs/thread-120252-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	Envir			
kevin.zhang	http://www.1point3acres.com/bbs/thread-120246-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
gdragonhhhh	http://www.1point3acres.com/bbs/thread-118600-1-1.html	4.3	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE	159+166 3.0	100	15/211
zhangr1000688	http://www.1point3acres.com/bbs/thread-119547-1-1.html	3.5	Fall	2015.0	PhD	WaitingList	'University of California, Los Angeles'	Stat/Biostat			
frk	http://www.1point3acres.com/bbs/thread-119273-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	V?151 AW?3.5	104?S23?	30/211
wanghwadad	http://www.1point3acres.com/bbs/thread-119745-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE, EE, Stanford EE			15/211
baimaoguhuimao	http://www.1point3acres.com/bbs/thread-119714-1-1.html	3.6	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE		105 ??UCLA?????	15/211
whdawn	http://www.1point3acres.com/bbs/thread-119761-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	321 + 3	100 (23)	30/211
whdawn	http://www.1point3acres.com/bbs/thread-119761-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	321 + 3	100 (23)	30/211
nanaslipdada	http://www.1point3acres.com/bbs/thread-119444-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE	151 168 3.5	107(s23)	15/211
??	http://www.1point3acres.com/bbs/thread-119685-1-1.html	1.1	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
GerogeShi	http://www.1point3acres.com/bbs/thread-119753-1-1.html		Fall	2015.0			'University of California, Los Angeles'	EE			30/211
sq421784321	http://www.1point3acres.com/bbs/thread-119739-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
????	http://www.1point3acres.com/bbs/thread-119736-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			30/211
hellojay	http://www.1point3acres.com/bbs/thread-119738-1-1.html	8.5	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	320+4.5	100?23?	30/211
RebeccaCheng	http://www.1point3acres.com/bbs/thread-119725-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	153+170+3.0	102(S22)	30/211
daiviedai1992	http://www.1point3acres.com/bbs/thread-118752-1-1.html	3.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
lingxo	http://www.1point3acres.com/bbs/thread-119440-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE, NEU, EE			
sarah617	http://www.1point3acres.com/bbs/thread-116517-1-1.html		Fall	2015.0	PhD	AD	'University of California, Los Angeles'	EE			
shirring	http://www.1point3acres.com/bbs/thread-119295-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
tfch	http://www.1point3acres.com/bbs/thread-118920-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME	330+3	103	15/211
thunder	http://www.1point3acres.com/bbs/thread-119256-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
chachacha	http://www.1point3acres.com/bbs/thread-118768-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
Jimmy921209	http://www.1point3acres.com/bbs/thread-119203-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
lmstc16lmstc16	http://www.1point3acres.com/bbs/thread-119280-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			15/211
jack19921127	http://www.1point3acres.com/bbs/thread-119222-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
smallmikko	http://www.1point3acres.com/bbs/thread-118827-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
gynirvana	http://www.1point3acres.com/bbs/thread-118773-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
steven93	http://www.1point3acres.com/bbs/thread-119116-1-1.html	3.5	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE, EE			
hnxm_numb	http://www.1point3acres.com/bbs/thread-118753-1-1.html	0.2	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE	320+3	100(s22)	30/211
DDMM0615	http://www.1point3acres.com/bbs/thread-117327-1-1.html		Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	CivilEng			
???	http://www.1point3acres.com/bbs/thread-118899-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			15/211
sunny11	http://www.1point3acres.com/bbs/thread-118068-1-1.html	7.1	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
OO??	http://www.1point3acres.com/bbs/thread-118840-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
sioricky	http://www.1point3acres.com/bbs/thread-118791-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE, EE			
shax_dk	http://www.1point3acres.com/bbs/thread-118781-1-1.html	3.8	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE		??90	15/211
Stonre	http://www.1point3acres.com/bbs/thread-118584-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
hantianwuya	http://www.1point3acres.com/bbs/thread-115614-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
Alex-	http://www.1point3acres.com/bbs/thread-118447-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME, Aero Eng.			
alanguxd	http://www.1point3acres.com/bbs/thread-118002-1-1.html	3.8	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
teyin	http://www.1point3acres.com/bbs/thread-118056-1-1.html	3.9	Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME			
appleXiao	http://www.1point3acres.com/bbs/thread-118356-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
zyc460	http://www.1point3acres.com/bbs/thread-118074-1-1.html	3.7	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE, EE			
wangyanghan	http://www.1point3acres.com/bbs/thread-117895-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
THU???	http://www.1point3acres.com/bbs/thread-117519-1-1.html		Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	Stat/Biostat			
otnt	http://www.1point3acres.com/bbs/thread-117738-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
macmillance	http://www.1point3acres.com/bbs/thread-117233-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
viczong	http://www.1point3acres.com/bbs/thread-91359-1-1.html		Fall	2014.0	MS	AD	'University of California, Los Angeles'	EE			
epochou	http://www.1point3acres.com/bbs/thread-91195-1-1.html		Fall	2014.0	MS	Rej	'University of California, Los Angeles'	EE			30/211
lonelyowl	http://www.1point3acres.com/bbs/thread-88088-1-1.html		Fall	2014.0	MS	AD	'University of California, Los Angeles'	EE			
??????	http://www.1point3acres.com/bbs/thread-91317-1-1.html		Fall	2014.0	MS	AD	'University of California, Los Angeles'	EE			
